mode,samples,gamma_mean,gamma_p50,gamma_p95,gamma_std,generated_tokens_mean,generated_tokens_p50,generated_tokens_p95,generated_tokens_std,generation_total_ms_mean,generation_total_ms_p50,generation_total_ms_p95,generation_total_ms_std,generation_total_ns_mean,generation_total_ns_p50,generation_total_ns_p95,generation_total_ns_std,max_gen_len_mean,max_gen_len_p50,max_gen_len_p95,max_gen_len_std,prompt_tokens_mean,prompt_tokens_p50,prompt_tokens_p95,prompt_tokens_std,sim_downlink_mbps_mean,sim_downlink_mbps_p50,sim_downlink_mbps_p95,sim_downlink_mbps_std,sim_rtt_ms_mean,sim_rtt_ms_p50,sim_rtt_ms_p95,sim_rtt_ms_std,sim_uplink_mbps_mean,sim_uplink_mbps_p50,sim_uplink_mbps_p95,sim_uplink_mbps_std,target_cloud_generate_ms_mean,target_cloud_generate_ms_p50,target_cloud_generate_ms_p95,target_cloud_generate_ms_std,target_cloud_generate_ns_mean,target_cloud_generate_ns_p50,target_cloud_generate_ns_p95,target_cloud_generate_ns_std,target_downlink_ms_mean,target_downlink_ms_p50,target_downlink_ms_p95,target_downlink_ms_std,target_downlink_ns_mean,target_downlink_ns_p50,target_downlink_ns_p95,target_downlink_ns_std,target_generate_steps_mean,target_generate_steps_p50,target_generate_steps_p95,target_generate_steps_std,target_http_total_ms_mean,target_http_total_ms_p50,target_http_total_ms_p95,target_http_total_ms_std,target_http_total_ns_mean,target_http_total_ns_p50,target_http_total_ns_p95,target_http_total_ns_std,target_model_forward_ms_mean,target_model_forward_ms_p50,target_model_forward_ms_p95,target_model_forward_ms_std,target_model_forward_ns_mean,target_model_forward_ns_p50,target_model_forward_ns_p95,target_model_forward_ns_std,target_request_encode_ms_mean,target_request_encode_ms_p50,target_request_encode_ms_p95,target_request_encode_ms_std,target_request_encode_ns_mean,target_request_encode_ns_p50,target_request_encode_ns_p95,target_request_encode_ns_std,target_response_decode_ms_mean,target_response_decode_ms_p50,target_response_decode_ms_p95,target_response_decode_ms_std,target_response_decode_ns_mean,target_response_decode_ns_p50,target_response_decode_ns_p95,target_response_decode_ns_std,target_response_wait_ms_mean,target_response_wait_ms_p50,target_response_wait_ms_p95,target_response_wait_ms_std,target_response_wait_ns_mean,target_response_wait_ns_p50,target_response_wait_ns_p95,target_response_wait_ns_std,target_server_encode_ms_mean,target_server_encode_ms_p50,target_server_encode_ms_p95,target_server_encode_ms_std,target_server_encode_ns_mean,target_server_encode_ns_p50,target_server_encode_ns_p95,target_server_encode_ns_std,target_upload_ms_mean,target_upload_ms_p50,target_upload_ms_p95,target_upload_ms_std,target_upload_ns_mean,target_upload_ns_p50,target_upload_ns_p95,target_upload_ns_std,throughput_tokens_s_mean,throughput_tokens_s_p50,throughput_tokens_s_p95,throughput_tokens_s_std,acceptance_rate_mean,acceptance_rate_p50,acceptance_rate_p95,acceptance_rate_std,drafter_generate_ms_mean,drafter_generate_ms_p50,drafter_generate_ms_p95,drafter_generate_ms_std,drafter_generate_ns_mean,drafter_generate_ns_p50,drafter_generate_ns_p95,drafter_generate_ns_std,drafts_accepted_mean,drafts_accepted_p50,drafts_accepted_p95,drafts_accepted_std,drafts_speculated_mean,drafts_speculated_p50,drafts_speculated_p95,drafts_speculated_std,target_cloud_verify_ms_mean,target_cloud_verify_ms_p50,target_cloud_verify_ms_p95,target_cloud_verify_ms_std,target_cloud_verify_ns_mean,target_cloud_verify_ns_p50,target_cloud_verify_ns_p95,target_cloud_verify_ns_std
cloud_target_generate,9,4.0,4.0,4.0,0.0,35.0,35.0,35.0,0.0,1038.9749213333334,995.382341,1169.3906492,79.74334864484018,1038974921.3333334,995382341.0,1169390649.1999998,79743348.64484018,35.0,35.0,35.0,0.0,29.0,29.0,30.0,0.8660254037844386,200.0,200.0,200.0,0.0,40.0,40.0,40.0,0.0,100.0,100.0,100.0,0.0,995.0529881111112,951.366845,1125.501209,79.80208936144311,995052988.1111112,951366845.0,1125501209.0,79802089.36144309,20.28140122222222,20.303239,20.328328199999998,0.046830513364092476,20281401.222222224,20303239.0,20328328.2,46830.51336409248,35.0,35.0,35.0,0.0,1038.493965111111,994.976419,1168.9613570000001,79.76935481894506,1038493965.1111112,994976419.0,1168961357.0,79769354.81894507,972.4291837777778,931.692275,1103.5899006,80.40689228310379,972429183.7777778,931692275.0,1103589900.6,80406892.28310378,0.058059,0.053396,0.081238,0.018955294761622676,58059.0,53396.0,81238.0,18955.294761622674,0.055140666666666664,0.050241,0.07742539999999999,0.013157807435131431,55140.666666666664,50241.0,77425.4,13157.807435131432,997.480721111111,953.844481,1127.8896132,79.74913622063949,997480721.1111112,953844481.0,1127889613.1999998,79749136.22063944,0.04135688888888889,0.041161,0.0432636,0.0015115823203223537,41356.88888888889,41161.0,43263.6,1511.5823203223538,20.695601444444446,20.688275,20.8543582,0.1262300883883387,20695601.444444444,20688275.0,20854358.2,126230.08838833861,33.84687874729272,35.16236782424493,35.716360514644464,2.348415585745426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speculative_server_accept,9,4.0,4.0,4.0,0.0,35.0,35.0,35.0,0.0,1822.8905512222223,1979.386379,2134.7823814000003,335.51127052911926,1822890551.2222223,1979386379.0,2134782381.4,335511270.52911925,35.0,35.0,35.0,0.0,29.0,29.0,30.0,0.8660254037844386,200.0,200.0,200.0,0.0,40.0,40.0,40.0,0.0,100.0,100.0,100.0,0.0,,,,,,,,,196.08511533333333,202.929021,223.41520859999997,27.01575156531578,196085115.33333334,202929021.0,223415208.6,27015751.56531578,,,,,850.1246364444445,878.102667,1026.3047602,153.85273573154964,850124636.4444444,878102667.0,1026304760.2,153852735.73154965,428.52730388888887,443.703763,544.0321918,94.9463389115427,428527303.8888889,443703763.0,544032191.8,94946338.91154271,0.4830564444444445,0.505365,0.5806268000000001,0.0868209169456173,483056.44444444444,505365.0,580626.8,86820.9169456173,0.46149388888888887,0.443537,0.6043533999999999,0.10044561302322322,461493.8888888889,443537.0,604353.4,100445.61302322322,453.6232668888889,468.744119,574.487305,99.61596677833754,453623266.8888889,468744119.0,574487305.0,99615966.77833754,0.3757981111111111,0.391044,0.46067959999999997,0.07875081038859924,375798.1111111111,391044.0,460679.6,78750.81038859925,200.03950466666666,206.85082,228.5926928,27.844896579462983,200039504.66666666,206850820.0,228592692.8,27844896.579462986,19.870397013710274,17.682247574969292,25.61372899462509,4.106190852648523,0.7751322751322751,0.6944444444444444,0.9642857142857144,0.14237407302309715,951.0982021111112,1022.022526,1173.1923192,195.7599009128297,951098202.1111112,1022022526.0,1173192319.2,195759900.9128297,25.333333333333332,25.0,27.0,1.3228756555322954,33.333333333333336,36.0,36.0,4.0,432.815968,447.922467,549.4059878,96.05158709480312,432815968.0,447922467.0,549405987.8,96051587.09480314
