run_id,mode,prompt_id,run_index,warmup,gamma,max_gen_len,prompt_tokens,target_url,drafter_model,network_simulated,sim_rtt_ms,sim_uplink_mbps,sim_downlink_mbps,generated_tokens,drafts_accepted,drafts_speculated,acceptance_rate,throughput_tokens_s,acceptance_sampling_ns,acceptance_sampling_ms,drafter_generate_ns,drafter_generate_ms,generation_total_ns,generation_total_ms,target_cloud_verify_ns,target_cloud_verify_ms,target_downlink_ns,target_downlink_ms,target_http_total_ns,target_http_total_ms,target_model_forward_ns,target_model_forward_ms,target_request_encode_ns,target_request_encode_ms,target_response_decode_ns,target_response_decode_ms,target_response_wait_ns,target_response_wait_ms,target_server_encode_ns,target_server_encode_ms,target_upload_ns,target_upload_ms
6389f460-d716-42ae-8fa1-4ef96438f862,speculative,1,1,False,4,35,29,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,True,40.0,100.0,200.0,35,24,30,0.8,4.178256896623194,3114909,3.114909,760864854,760.864854,8376698912,8376.698912,640410835,640.410835,2649548720,2649.54872,6125842694,6125.842694,425633141,425.633141,544769,0.544769,948186287,948.186287,3249407656,3249.407656,2588055508,2588.055508,226385505,226.385505
2aba0c31-ee44-456e-8078-4703fef677ba,speculative,1,2,False,4,35,29,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,True,40.0,100.0,200.0,35,24,30,0.8,4.323693377866133,3467667,3.467667,733512914,733.512914,8094931102,8094.931102,580225613,580.225613,2669933902,2669.933902,5798142909,5798.142909,394836041,394.836041,555503,0.555503,1029706413,1029.706413,2900341722,2900.341722,2299432024,2299.432024,227306167,227.306167
e77622d0-fef9-411e-afdd-6af04c266097,target_ar,1,0,True,4,35,29,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,True,40.0,100.0,200.0,35,,,,3.5686233756404864,,,,,9807703508,9807.703508,1562755017,1562.755017,2814105598,2814.105598,7901206689,7901.206689,1426972144,1426.972144,2254791,2.254791,1244255060,1244.25506,4363905537,4363.905537,2734254102,2734.254102,721533522,721.533522
919bf861-d216-48c3-8f8b-b60bcbfef73b,target_ar,1,0,False,4,35,29,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,True,40.0,100.0,200.0,35,,,,3.6513716509369103,,,,,9585438938,9585.438938,1502021138,1502.021138,2808154808,2808.154808,7694493242,7694.493242,1375378391,1375.378391,2098957,2.098957,1241473519,1241.473519,4161352667,4161.352667,2597490939,2597.490939,723347796,723.347796
766c038c-f424-442d-b137-e0b1eebe1897,target_ar,1,1,False,4,35,29,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,True,40.0,100.0,200.0,35,,,,3.5557120773239212,,,,,9843316680,9843.31668,1586312278,1586.312278,2817396800,2817.3968,7935284928,7935.284928,1452020953,1452.020953,2416802,2.416802,1229907522,1229.907522,4393694189,4393.694189,2740502680,2740.50268,722449301,722.449301
eee03479-b3e1-46c0-a710-aa7aba3ffedb,target_ar,1,2,False,4,35,29,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,True,40.0,100.0,200.0,35,,,,3.535420751558513,,,,,9899811779,9899.811779,1577876431,1577.876431,2811184897,2811.184897,7958307786,7958.307786,1445584040,1445.58404,2324214,2.324214,1262445614,1262.445614,4422370911,4422.370911,2777541197,2777.541197,723135846,723.135846
31b93402-5d29-4bca-8274-a40761ff8092,speculative,2,0,True,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,True,40.0,100.0,200.0,35,23,41,0.5609756097560976,3.237265274789311,3737529,3.737529,1096979932,1096.979932,10811594673,10811.594673,722414299,722.414299,3336879932,3336.879932,7503721281,7503.721281,448635693,448.635693,563193,0.563193,1432763043,1432.763043,3920318237,3920.318237,3175549605,3175.549605,245960926,245.960926
4494f3c1-fbe1-4b4a-97c6-fd15d93ee8ca,speculative,2,0,False,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,True,40.0,100.0,200.0,35,22,46,0.4782608695652174,2.9830147365055626,3770438,3.770438,1130164594,1130.164594,11733096579,11733.096579,875428098,875.428098,3723846365,3723.846365,8624935316,8624.935316,525833706,525.833706,620591,0.620591,1263283120,1263.28312,4632084582,4632.084582,3733634638,3733.634638,268359849,268.359849
91b12499-b18b-4bc2-bdcd-131dfa69c296,speculative,2,1,False,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,True,40.0,100.0,200.0,35,22,45,0.4888888888888889,2.8916332874062545,4435720,4.43572,1353522399,1353.522399,12103886116,12103.886116,831753588,831.753588,3686771524,3686.771524,8315455719,8315.455719,516515803,516.515803,681544,0.681544,1540603352,1540.603352,4359896890,4359.89689,3494306203,3494.306203,268142692,268.142692
ff275257-73e4-47d3-9322-6f32952f04fb,speculative,2,2,False,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,True,40.0,100.0,200.0,35,22,45,0.4888888888888889,3.040468249915469,3875192,3.875192,1153341592,1153.341592,11511384801,11511.384801,811902964,811.902964,3673942473,3673.942473,8378045262,8378.045262,506030773,506.030773,722190,0.72219,1278222236,1278.222236,4434692649,4434.692649,3596933916,3596.933916,268562947,268.562947
eca8a5aa-d1af-4db5-9e96-df04936db965,target_ar,2,0,True,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,True,40.0,100.0,200.0,35,,,,3.6846039318654475,,,,,9498985684,9498.985684,1543615848,1543.615848,2724861378,2724.861378,7677500257,7677.500257,1412764647,1412.764647,2446175,2.446175,1160734277,1160.734277,4228416479,4228.416479,2619291901,2619.291901,722420397,722.420397
80344d06-65f5-4b7b-94f2-3d8b3127e541,target_ar,2,0,False,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,True,40.0,100.0,200.0,35,,,,3.6932612634691946,,,,,9476719220,9476.71922,1588412203,1588.412203,2723461098,2723.461098,7701341845,7701.341845,1454686390,1454.68639,2362152,2.362152,1129723999,1129.723999,4254543227,4254.543227,2600298109,2600.298109,721504449,721.504449
88dcd9e8-78ff-4007-8142-2ce49f3d882d,target_ar,2,1,False,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,True,40.0,100.0,200.0,35,,,,3.568298632821111,,,,,9808596085,9808.596085,1665508942,1665.508942,2733082682,2733.082682,7888582610,7888.58261,1536544374,1536.544374,2844611,2.844611,1227812168,1227.812168,4429125255,4429.125255,2687914437,2687.914437,724495509,724.495509
c63847de-38ac-4925-98ba-fa3f62472ce5,target_ar,2,2,False,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,True,40.0,100.0,200.0,35,,,,3.657771540272169,,,,,9568667593,9568.667593,1591104070,1591.10407,2726414855,2726.414855,7715929726,7715.929726,1479597556,1479.597556,2374950,2.37495,1186622339,1186.622339,4264705599,4264.705599,2596156136,2596.156136,723144046,723.144046
