run_id,mode,prompt_id,run_index,warmup,gamma,max_gen_len,prompt_tokens,target_url,drafter_model,generated_tokens,drafts_accepted,drafts_speculated,acceptance_rate,throughput_tokens_s,acceptance_sampling_ns,acceptance_sampling_ms,drafter_generate_ns,drafter_generate_ms,generation_total_ns,generation_total_ms,target_cloud_verify_ns,target_cloud_verify_ms,target_downlink_ns,target_downlink_ms,target_http_total_ns,target_http_total_ms,target_model_forward_ns,target_model_forward_ms,target_request_encode_ns,target_request_encode_ms,target_response_decode_ns,target_response_decode_ms,target_response_wait_ns,target_response_wait_ms,target_server_encode_ns,target_server_encode_ms,target_upload_ns,target_upload_ms
41f4de3b-8a9e-4376-9646-e9a299e3ddd0,speculative,1,2,False,4,35,29,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,35,24,30,0.8,7.659655867178163,2828426,2.828426,749406277,749.406277,4569395885,4569.395885,527000019,527.000019,69569355,69.569355,2637609076,2637.609076,370564229,370.564229,495297,0.495297,760399590,760.39959,2564242718,2564.242718,2015906291,2015.906291,3431529,3.431529
5afe370b-51e8-4bdd-9039-e797124518cd,target_ar,1,0,True,4,35,29,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,35,,,,6.8181773186275265,,,,,5133336721,5133.336721,1394755132,1394.755132,61062728,61.062728,3845765018,3845.765018,1305247328,1305.247328,1696254,1.696254,847844666,847.844666,3773232751,3773.232751,2313724016,2313.724016,10397453,10.397453
87189d4d-41ee-4867-8dff-c2f028e18cf3,target_ar,1,0,False,4,35,29,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,35,,,,6.418061771343706,,,,,5453359791,5453.359791,1484077969,1484.077969,54556690,54.55669,3970966395,3970.966395,1394270806,1394.270806,1931577,1.931577,920143530,920.14353,3901985934,3901.985934,2355389330,2355.38933,13353838,13.353838
6ad60388-ce4b-4ddd-8de2-550114f9fb7e,target_ar,1,1,False,4,35,29,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,35,,,,6.785338809713338,,,,,5158180156,5158.180156,1336566361,1336.566361,54298243,54.298243,3789165590,3789.16559,1245986364,1245.986364,2106563,2.106563,848707744,848.707744,3717681127,3717.681127,2316464858,2316.464858,16115855,16.115855
ecf6cec4-87e7-4574-b140-e6d08d332d4a,target_ar,1,2,False,4,35,29,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,35,,,,6.28090685878785,,,,,5572443723,5572.443723,1386616317,1386.616317,53106833,53.106833,4024560381,4024.560381,1290566292,1290.566292,2457950,2.45795,920265711,920.265711,3954543535,3954.543535,2505226583,2505.226583,15905223,15.905223
788ca88a-2810-4e4a-bed2-6303e8d39090,speculative,2,0,True,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,35,23,41,0.5609756097560976,4.069243153001947,7075699,7.075699,1359888384,1359.888384,8601108040,8601.10804,795108611,795.108611,91383864,91.383864,4822703727,4822.703727,501413878,501.413878,802915,0.802915,1468953376,1468.953376,4725283454,4725.283454,3910534903,3910.534903,5662505,5.662505
d3e86286-daf5-49b3-beda-6258091a5cd8,speculative,2,0,False,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,35,22,46,0.4782608695652174,3.8271470642398655,12856812,12.856812,1482901249,1482.901249,9145193381,9145.193381,776594794,776.594794,92905432,92.905432,4918422517,4918.422517,481177363,481.177363,864162,0.864162,1681548344,1681.548344,4815747470,4815.74747,4011454771,4011.454771,9340691,9.340691
175c4470-fe3a-4906-9a14-93da24302832,speculative,2,1,False,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,35,22,45,0.4888888888888889,4.063887040786588,4398029,4.398029,1330777967,1330.777967,8612444108,8612.444108,855752777,855.752777,84442046,84.442046,4948346655,4948.346655,543439513,543.439513,816856,0.816856,1466425895,1466.425895,4858225673,4858.225673,3980387455,3980.387455,5323603,5.323603
02ff3056-0da2-4f0b-bd3d-e4f43e4a1956,speculative,2,2,False,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,35,22,45,0.4888888888888889,3.9284168589571444,7486096,7.486096,1517200808,1517.200808,8909441451,8909.441451,777167736,777.167736,89138364,89.138364,4857979719,4857.979719,490345242,490.345242,843909,0.843909,1560176509,1560.176509,4762653235,4762.653235,3964382825,3964.382825,5824075,5.824075
70d438d9-841f-442e-86e8-50ec35a19c44,target_ar,2,0,True,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,35,,,,5.184497002733779,,,,,6750895985,6750.895985,1723041754,1723.041754,63589996,63.589996,4784457051,4784.457051,1600181595,1600.181595,2743464,2.743464,1162853009,1162.853009,4701638399,4701.638399,2907469002,2907.469002,18114869,18.114869
a4229a58-2bfe-4dfd-a5fd-b97618277fd5,target_ar,2,0,False,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,35,,,,6.080098019963217,,,,,5756486143,5756.486143,1489604655,1489.604655,51653332,51.653332,4044526522,4044.526522,1387155701,1387.155701,2583479,2.583479,1014576507,1014.576507,3973561140,3973.56114,2415052137,2415.052137,18276073,18.276073
3d87e460-cf18-4f30-a0b8-3622c39c7402,target_ar,2,1,False,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,35,,,,5.5705266722609625,,,,,6283068381,6283.068381,1630297879,1630.297879,51450165,51.450165,4475687407,4475.687407,1517064412,1517.064412,2489639,2.489639,1071057636,1071.057636,4405018376,4405.018376,2709142878,2709.142878,18211895,18.211895
cdadb36f-762f-44e0-8f99-b5e41c21d425,target_ar,2,2,False,4,35,30,http://127.0.0.1:8000,/home/chajiahao/data/hf_models/Qwen2.5-0.5B,35,,,,5.417225045848451,,,,,6460872440,6460.87244,1646322640,1646.32264,57506905,57.506905,4557395542,4557.395542,1527541729,1527.541729,2769418,2.769418,1127177406,1127.177406,4478535467,4478.535467,2764917268,2764.917268,20245381,20.245381
