mode,samples,acceptance_rate_mean,acceptance_rate_p50,acceptance_rate_p95,acceptance_rate_std,acceptance_sampling_ms_mean,acceptance_sampling_ms_p50,acceptance_sampling_ms_p95,acceptance_sampling_ms_std,acceptance_sampling_ns_mean,acceptance_sampling_ns_p50,acceptance_sampling_ns_p95,acceptance_sampling_ns_std,drafter_generate_ms_mean,drafter_generate_ms_p50,drafter_generate_ms_p95,drafter_generate_ms_std,drafter_generate_ns_mean,drafter_generate_ns_p50,drafter_generate_ns_p95,drafter_generate_ns_std,drafts_accepted_mean,drafts_accepted_p50,drafts_accepted_p95,drafts_accepted_std,drafts_speculated_mean,drafts_speculated_p50,drafts_speculated_p95,drafts_speculated_std,gamma_mean,gamma_p50,gamma_p95,gamma_std,generated_tokens_mean,generated_tokens_p50,generated_tokens_p95,generated_tokens_std,generation_total_ms_mean,generation_total_ms_p50,generation_total_ms_p95,generation_total_ms_std,generation_total_ns_mean,generation_total_ns_p50,generation_total_ns_p95,generation_total_ns_std,max_gen_len_mean,max_gen_len_p50,max_gen_len_p95,max_gen_len_std,prompt_tokens_mean,prompt_tokens_p50,prompt_tokens_p95,prompt_tokens_std,target_cloud_verify_ms_mean,target_cloud_verify_ms_p50,target_cloud_verify_ms_p95,target_cloud_verify_ms_std,target_cloud_verify_ns_mean,target_cloud_verify_ns_p50,target_cloud_verify_ns_p95,target_cloud_verify_ns_std,target_downlink_ms_mean,target_downlink_ms_p50,target_downlink_ms_p95,target_downlink_ms_std,target_downlink_ns_mean,target_downlink_ns_p50,target_downlink_ns_p95,target_downlink_ns_std,target_http_total_ms_mean,target_http_total_ms_p50,target_http_total_ms_p95,target_http_total_ms_std,target_http_total_ns_mean,target_http_total_ns_p50,target_http_total_ns_p95,target_http_total_ns_std,target_model_forward_ms_mean,target_model_forward_ms_p50,target_model_forward_ms_p95,target_model_forward_ms_std,target_model_forward_ns_mean,target_model_forward_ns_p50,target_model_forward_ns_p95,target_model_forward_ns_std,target_request_encode_ms_mean,target_request_encode_ms_p50,target_request_encode_ms_p95,target_request_encode_ms_std,target_request_encode_ns_mean,target_request_encode_ns_p50,target_request_encode_ns_p95,target_request_encode_ns_std,target_response_decode_ms_mean,target_response_decode_ms_p50,target_response_decode_ms_p95,target_response_decode_ms_std,target_response_decode_ns_mean,target_response_decode_ns_p50,target_response_decode_ns_p95,target_response_decode_ns_std,target_response_wait_ms_mean,target_response_wait_ms_p50,target_response_wait_ms_p95,target_response_wait_ms_std,target_response_wait_ns_mean,target_response_wait_ns_p50,target_response_wait_ns_p95,target_response_wait_ns_std,target_server_encode_ms_mean,target_server_encode_ms_p50,target_server_encode_ms_p95,target_server_encode_ms_std,target_server_encode_ns_mean,target_server_encode_ns_p50,target_server_encode_ns_p95,target_server_encode_ns_std,target_upload_ms_mean,target_upload_ms_p50,target_upload_ms_p95,target_upload_ms_std,target_upload_ns_mean,target_upload_ns_p50,target_upload_ns_p95,target_upload_ns_std,throughput_tokens_s_mean,throughput_tokens_s_p50,throughput_tokens_s_p95,throughput_tokens_s_std
speculative,9,0.6039529177210337,0.4888888888888889,0.8,0.1651759150904501,5.277463111111111,4.398029,10.708525599999998,3.2006347719336645,5277463.111111111,4398029.0,10708525.599999998,3200634.7719336646,1102.092080111111,1170.134461,1503.4809844000001,314.5464531891883,1102092080.1111112,1170134461.0,1503480984.4,314546453.1891883,22.77777777777778,22.0,24.6,1.481365736219265,39.666666666666664,45.0,47.8,8.04673846971554,4.0,4.0,4.0,0.0,35.0,35.0,35.0,0.0,6763.840493333333,7224.9939,9050.892608999999,1954.197547203947,6763840493.333333,7224993900.0,9050892609.0,1954197547.203947,35.0,35.0,35.0,0.0,29.0,29.0,30.0,0.8660254037844386,695.5176648888888,776.594794,865.4966726,159.69368258648086,695517664.8888888,776594794.0,865496672.6,159693682.58648086,81.9004448888889,84.442046,102.3811732,15.729317792968896,81900444.8888889,84442046.0,102381173.19999999,15729317.792968895,3777.8703038888893,4220.145393,4936.3769998,1080.5657781099283,3777870303.888889,4220145393.0,4936376999.8,1080565778.1099284,451.57342833333337,481.177363,551.581277,90.37086455354255,451573428.3333333,481177363.0,551581277.0,90370864.55354254,0.6570864444444444,0.717632,0.8560608,0.17265056335349094,657086.4444444445,717632.0,856060.8,172650.5633534909,1182.2791872222222,1148.252119,1632.9996099999998,348.9419818075176,1182279187.2222223,1148252119.0,1632999610.0,348941981.8075176,3690.6318859999997,4108.879512,4841.234391800001,1066.3775289662776,3690631886.0,4108879512.0,4841234391.8,1066377528.9662775,2970.892141888889,3207.236987,3999.0278446,920.3173133176435,2970892141.888889,3207236987.0,3999027844.6,920317313.3176435,4.931624111111111,4.980049,7.934044599999998,1.9095739540250491,4931624.111111111,4980049.0,7934044.599999999,1909573.9540250495,5.598278131498459,4.844294747432243,7.6010910247638765,1.663251690446137
target_ar,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,0.0,35.0,35.0,35.0,0.0,5642.713994444445,5453.359791,6389.7508164,447.3650271362709,5642713994.444445,5453359791.0,6389750816.4,447365027.1362709,35.0,35.0,35.0,0.0,29.0,29.0,30.0,0.8660254037844386,1495.015281,1489.604655,1639.9127356,99.01295633806475,1495015281.0,1489604655.0,1639912735.6,99012956.33806472,54.924658111111114,54.298243,59.30114400000001,3.0007564939495865,54924658.11111111,54298243.0,59301144.0,3000756.493949586,4056.5922907777776,3970.966395,4524.712288000001,274.04290501721897,4056592290.7777777,3970966395.0,4524712288.0,274042905.0172189,1390.0585501111111,1388.386775,1523.3508022,91.02616600373102,1390058550.1111112,1388386775.0,1523350802.2,91026166.00373104,2.2486054444444448,2.106563,2.6950424,0.33139217379605956,2248605.4444444445,2106563.0,2695042.4,331392.1737960596,969.5049938888889,958.113026,1104.729498,88.67691924438581,969504993.8888888,958113026.0,1104729498.0,88676919.24438582,3985.446249444444,3901.985934,4449.1286306,272.12889179796224,3985446249.4444447,3901985934.0,4449128630.6,272128891.79796225,2424.346513,2355.38933,2742.607512,199.15182186974687,2424346513.0,2355389330.0,2742607512.0,199151821.86974683,15.151601777777778,15.905223,19.4576578,3.3927738845502127,15151601.777777778,15905223.0,19457657.799999997,3392773.8845502133,6.235375997054445,6.418061771343706,6.703412523119935,0.46458441160812763
